Tissue.num,tissue.number.check,perc.east.buzz,PC1,PC2,Species,Tissue.Types,Country.Continent.Ocean,State.Province,Population,Preparator.No.,Voucher.No.,Sex,Song.Type,Latitude,Longitude,plate,western.qvalue,pops,eastern.qvalue
B02326,B02326,0,10.98485773,0.729568351,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,250,NONE,M,WESTERN,50.912843,-106.132121,1,0.939128,4,0.060872
B02327,B02327,0,11.34209177,0.873426222,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,251,NONE,M,WESTERN,50.912843,-106.132121,1,0.981775,4,0.018225
B02328,B02328,NA,-0.533736373,-0.079576676,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,252,NONE,M,EASTERN,50.912843,-106.132121,1,0.479813,4,0.520187
B02330,B02330,0,-2.145655473,-0.289193736,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,254,NONE,M,WESTERN,50.912843,-106.132121,1,0.460986,4,0.539014
B02332,B02332,0,9.095056717,-0.056648356,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,256,NONE,M,WESTERN,50.912843,-106.132121,1,0.893179,4,0.106821
B02333,B02333,NA,-7.949064627,-3.245835109,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,191,NONE,M,WESTERN,50.912843,-106.132121,1,0.218303,4,0.781697
B02334,B02334,NA,11.07293896,0.615025969,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,257,NONE,M,WESTERN,50.912843,-106.132121,1,0.96513,4,0.03487
B02336,B02336,1,-11.45185537,4.004409856,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,259,NONE,M,EASTERN,50.912843,-106.132121,1,1e-05,4,0.99999
B02337,B02337,NA,10.77268414,1.063632322,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,260,NONE,M,WESTERN,50.912843,-106.132121,1,0.990029,4,0.00997099999999995
B02338,B02338,NA,10.86817142,1.71920659,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,261,NONE,M,WESTERN,50.912843,-106.132121,1,0.924701,4,0.075299
B02339,B02339,NA,5.972234598,-0.732588855,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,262,NONE,M,WESTERN,50.912843,-106.132121,1,0.797788,4,0.202212
B02340,B02340,NA,-14.68335015,-0.321105984,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,263,NONE,M,EASTERN,50.912843,-106.132121,1,1e-05,4,0.99999
B02341,B02341,NA,12.42480248,0.323466887,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,264,NONE,M,WESTERN,50.912843,-106.132121,1,0.99999,4,9.99999999995449e-06
B02342,B02342,1,-14.45967521,-0.890475816,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,265,NONE,M,EASTERN,50.912843,-106.132121,1,1e-05,4,0.99999
B02343,B02343,1,-14.00253677,0.826411124,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,266,NONE,M,EASTERN,50.912843,-106.132121,1,0.008205,4,0.991795
B02344,B02344,0,3.622078322,-0.751830389,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,267,NONE,M,WESTERN,50.912843,-106.132121,1,0.71455,4,0.28545
B02345,B02345,NA,7.283802161,2.13341874,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,268,NONE,M,WESTERN,50.912843,-106.132121,1,0.806678,4,0.193322
B02346,B02346,NA,-0.795692146,0.680441251,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,269,NONE,M,WESTERN,50.912843,-106.132121,1,0.466957,4,0.533043
B02347,B02347,0,11.53209521,0.742902536,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,270,NONE,M,WESTERN,50.912843,-106.132121,1,0.970144,4,0.029856
B02348,B02348,0,11.09248968,0.33224899,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,271,NONE,M,WESTERN,50.912843,-106.132121,1,0.951246,4,0.048754
B02350,B02350,NA,10.99573988,1.001632241,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,273,NONE,M,WESTERN,50.912843,-106.132121,1,0.984138,4,0.015862
B02351,B02351,NA,-13.53529542,1.876477364,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,274,NONE,M,EASTERN,50.912843,-106.132121,1,0.0214,4,0.9786
B02352,B02352,0,12.00396789,-1.349244929,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,275,NONE,M,WESTERN,50.912843,-106.132121,1,0.99999,4,9.99999999995449e-06
B02353,B02353,1,-15.04342998,-0.440284456,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,276,NONE,M,EASTERN,50.912843,-106.132121,1,1e-05,4,0.99999
B02354,B02354,0.32,-14.34565506,0.174081268,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,277,NONE,M,MIXED,50.912843,-106.132121,1,1e-05,4,0.99999
B02355,B02355,NA,9.145377506,3.418545861,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,278,NONE,M,WESTERN,50.912843,-106.132121,2,0.955745,4,0.044255
B02358,B02358,NA,-1.249890406,-1.917096448,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,281,NONE,M,WESTERN,50.912843,-106.132121,2,0.473306,4,0.526694
B02360,B02360,NA,11.70533736,0.965446261,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,283,NONE,M,WESTERN,50.912843,-106.132121,2,0.981428,4,0.018572
